,import requirements,output product,value,proportion
500,M73 Advertising and market research services,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
501,"M74 Other professional, scientific and technical services",B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
502,M75 Veterinary services,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
503,N77 Rental and leasing services,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.9686696253776317,0.0016218422804560719
504,N78 Employment services,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
505,"N79 Travel agency, tour operator and other reservation services and related services",B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
506,N80 Security and investigation services,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
507,N81 Services to buildings and landscape,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
508,"N82 Office administrative, office support and other business support services",B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,3.835537333330155,0.006421835115390855
509,O84 Public administration and defence services; compulsory social security services,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
510,P85 Education services,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
511,Q86 Human health services,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
512,Q87 & Q88 Residential Care  & Social Work Activities,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
513,"R90 Creative, arts and entertainment services",B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
514,"R91 Libraries, archives, museums and other cultural services",B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
515,R92 Gambling and betting services,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
516,R93 Sports services and amusement and recreation services,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
517,S94 Services furnished by membership organisations,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
518,S95 Repair services of computers and personal and household goods,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
519,S96 Other personal services,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,0.0,0.0
520,"A01 Products of agriculture, hunting and related services",B08 Other mining and quarrying products,0.7154329636009994,0.0009003573122783215
521,"A02 Products of forestry, logging and related services",B08 Other mining and quarrying products,0.0,0.0
522,A03 Fish and other fishing products; aquaculture products; support services to fishing,B08 Other mining and quarrying products,0.0,0.0
523,B05 Coal and lignite,B08 Other mining and quarrying products,0.003721587698342098,4.683539713660847e-06
524,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,B08 Other mining and quarrying products,0.7157125281704502,0.0009007091383992372
525,B08 Other mining and quarrying products,B08 Other mining and quarrying products,495.6270877000961,0.6237362482264119
526,B09 Mining support services,B08 Other mining and quarrying products,28.62677486933787,0.036026193077298735
527,C101 Preserved meat and meat products,B08 Other mining and quarrying products,0.003706163271822365,4.664128397840507e-06
528,"C102_3 Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",B08 Other mining and quarrying products,0.0,0.0
529,C104 Vegetable and animal oils and fats,B08 Other mining and quarrying products,0.0,0.0
530,C105 Dairy products,B08 Other mining and quarrying products,0.0,0.0
531,"C106 Grain mill products, starches and starch products",B08 Other mining and quarrying products,0.0,0.0
532,C107 Bakery and farinaceous products,B08 Other mining and quarrying products,0.0,0.0
533,C108 Other food products,B08 Other mining and quarrying products,0.0,0.0
534,C109 Prepared animal feeds,B08 Other mining and quarrying products,0.0,0.0
535,C11.01-6 & C12 Alcoholic beverages  & Tobacco products,B08 Other mining and quarrying products,0.0,0.0
536,C1107 Soft drinks,B08 Other mining and quarrying products,0.0,0.0
537,C13 Textiles,B08 Other mining and quarrying products,0.0,0.0
538,C14 Wearing apparel,B08 Other mining and quarrying products,0.0,0.0
539,C15 Leather and related products,B08 Other mining and quarrying products,0.0,0.0
540,"C16 Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",B08 Other mining and quarrying products,0.2381911914549265,0.00029975859634325235
541,C17 Paper and paper products,B08 Other mining and quarrying products,2.999691355471946,0.0037750483747398074
542,C18 Printing and recording services,B08 Other mining and quarrying products,0.0,0.0
543,C19 Coke and refined petroleum products,B08 Other mining and quarrying products,7.890951608256009,0.009930596356040974
544,"C203 Paints, varnishes and similar coatings, printing ink and mastics",B08 Other mining and quarrying products,0.02604854238354901,3.278154181095293e-05
545,"C204 Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",B08 Other mining and quarrying products,0.0,0.0
546,C205 Other chemical products,B08 Other mining and quarrying products,25.30913691548978,0.03185101560685566
547,"C20A Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",B08 Other mining and quarrying products,2.877107672447055,0.0036207793921897917
548,C20B Petrochemicals - 20.14/16/17/60,B08 Other mining and quarrying products,33.87101131037777,0.04262595415517943
549,"C20C Dyestuffs, agro-chemicals - 20.12/20",B08 Other mining and quarrying products,0.0408931695578944,5.146319237006994e-05
550,C21 Basic pharmaceutical products and pharmaceutical preparations,B08 Other mining and quarrying products,0.0,0.0
551,C22 Rubber and plastic products,B08 Other mining and quarrying products,9.380631762427305,0.01180532744616732
552,"C235_6 Cement, lime, plaster and articles of concrete, cement and plaster",B08 Other mining and quarrying products,47.01599382721951,0.05916863772016219
553,"C23OTHER Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",B08 Other mining and quarrying products,32.95939713996935,0.041478706927189656
554,C241_3 Basic iron and steel,B08 Other mining and quarrying products,0.07070320813481125,8.897849789489975e-05
555,C244_5 Other basic metals and casting,B08 Other mining and quarrying products,0.0,0.0
556,C254 Weapons and ammunition,B08 Other mining and quarrying products,0.0,0.0
557,"C25OTHER Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",B08 Other mining and quarrying products,2.981540910307403,0.0037522064218854837
558,"C26 Computer, electronic and optical products",B08 Other mining and quarrying products,1.438549499197666,0.0018103842380392196
559,C27 Electrical equipment,B08 Other mining and quarrying products,0.003721177388207347,4.683023347000489e-06
560,C28 Machinery and equipment n.e.c.,B08 Other mining and quarrying products,7.27463004601248,0.009154968654337483
561,"C29 Motor vehicles, trailers and semi-trailers",B08 Other mining and quarrying products,0.7155692558023184,0.00090052883314234
562,C301 Ships and boats,B08 Other mining and quarrying products,0.0,0.0
563,C303 Air and spacecraft and related machinery,B08 Other mining and quarrying products,0.0,0.0
564,C30OTHER Other transport equipment - 30.2/4/9,B08 Other mining and quarrying products,0.0,0.0
565,C31 Furniture,B08 Other mining and quarrying products,0.0,0.0
566,C32 Other manufactured goods,B08 Other mining and quarrying products,2.146617720509723,0.0027014731773039196
567,C3315 Repair and maintenance of ships and boats,B08 Other mining and quarrying products,0.0,0.0
568,C3316 Repair and maintenance of aircraft and spacecraft,B08 Other mining and quarrying products,0.0,0.0
569,C33OTHER Rest of repair; Installation - 33.11-14/17/19/20,B08 Other mining and quarrying products,0.0,0.0
570,"D351 Electricity, transmission and distribution",B08 Other mining and quarrying products,0.0,0.0
571,D352_3 Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,B08 Other mining and quarrying products,0.0,0.0
572,E36 Natural water; water treatment and supply services,B08 Other mining and quarrying products,0.0,0.0
573,E37 Sewerage services; sewage sludge,B08 Other mining and quarrying products,0.0,0.0
574,"E38 Waste collection, treatment and disposal services; materials recovery services",B08 Other mining and quarrying products,3.66744869972279,0.00461540692447404
575,E39 Remediation services and other waste management services,B08 Other mining and quarrying products,0.0,0.0
576,"F41, F42 & F43 Construction",B08 Other mining and quarrying products,0.0,0.0
577,G45 Wholesale and retail trade and repair services of motor vehicles and motorcycles,B08 Other mining and quarrying products,0.0,0.0
578,"G46 Wholesale trade services, except of motor vehicles and motorcycles",B08 Other mining and quarrying products,0.0,0.0
579,"G47 Retail trade services, except of motor vehicles and motorcycles",B08 Other mining and quarrying products,0.0,0.0
580,H491_2 Rail transport services,B08 Other mining and quarrying products,0.0,0.0
581,"H493_5 Land transport services and transport services via pipelines, excluding rail transport",B08 Other mining and quarrying products,8.587591155799501,0.010807302550141992
582,H50 Water transport services,B08 Other mining and quarrying products,20.75670991614979,0.026121882136630286
583,H51 Air transport services,B08 Other mining and quarrying products,2.863112616435645,0.003603166909040853
584,H52 Warehousing and support services for transportation,B08 Other mining and quarrying products,0.0,0.0
585,H53 Postal and courier services,B08 Other mining and quarrying products,0.0,0.0
586,I55 Accommodation services,B08 Other mining and quarrying products,0.0,0.0
587,I56 Food and beverage serving services,B08 Other mining and quarrying products,0.0,0.0
588,J58 Publishing services,B08 Other mining and quarrying products,0.0,0.0
589,"J59 & J60 Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",B08 Other mining and quarrying products,0.0,0.0
590,J61 Telecommunications services,B08 Other mining and quarrying products,0.0,0.0
591,"J62 Computer programming, consultancy and related services",B08 Other mining and quarrying products,0.0,0.0
592,J63 Information services,B08 Other mining and quarrying products,0.0,0.0
593,"K64 Financial services, except insurance and pension funding",B08 Other mining and quarrying products,0.0,0.0
594,"K65.1-2 & K65.3 Insurance, reinsurance and pension funding services, except compulsory social security",B08 Other mining and quarrying products,0.0,0.0
595,K66 Services auxiliary to financial services and insurance services,B08 Other mining and quarrying products,0.7492121474855314,0.0009428677035526522
596,L683 Real estate services on a fee or contract basis,B08 Other mining and quarrying products,0.0,0.0
597,L68A Owner-Occupiers' Housing Services,B08 Other mining and quarrying products,0.0,0.0
598,"L68BXL683 Real estate services, excluding on a fee or contract basis and imputed rent",B08 Other mining and quarrying products,0.0,0.0
599,M691 Legal services,B08 Other mining and quarrying products,0.0112084643281738,1.4105616222221143e-05
600,"M692 Accounting, bookkeeping and auditing services; tax consulting services",B08 Other mining and quarrying products,0.04808213395767248,6.051035261338598e-05
601,M70 Services of head offices; management consulting services,B08 Other mining and quarrying products,1.434908019692827,0.0018058015127993996
602,M71 Architectural and engineering services; technical testing and analysis services,B08 Other mining and quarrying products,5.191922715379884,0.0065339253562591475
603,M72 Scientific research and development services,B08 Other mining and quarrying products,0.0,0.0
604,M73 Advertising and market research services,B08 Other mining and quarrying products,0.0,0.0
605,"M74 Other professional, scientific and technical services",B08 Other mining and quarrying products,0.0,0.0
606,M75 Veterinary services,B08 Other mining and quarrying products,0.0,0.0
607,N77 Rental and leasing services,B08 Other mining and quarrying products,41.13003741101743,0.051761285573002
608,N78 Employment services,B08 Other mining and quarrying products,7.233267676336202,0.00910291498350332
609,"N79 Travel agency, tour operator and other reservation services and related services",B08 Other mining and quarrying products,0.0,0.0
610,N80 Security and investigation services,B08 Other mining and quarrying products,0.0,0.0
611,N81 Services to buildings and landscape,B08 Other mining and quarrying products,0.0,0.0
612,"N82 Office administrative, office support and other business support services",B08 Other mining and quarrying products,0.00372100330069388,4.682804261532387e-06
613,O84 Public administration and defence services; compulsory social security services,B08 Other mining and quarrying products,0.0,0.0
614,P85 Education services,B08 Other mining and quarrying products,0.0,0.0
615,Q86 Human health services,B08 Other mining and quarrying products,0.0,0.0
616,Q87 & Q88 Residential Care  & Social Work Activities,B08 Other mining and quarrying products,0.0,0.0
617,"R90 Creative, arts and entertainment services",B08 Other mining and quarrying products,0.0,0.0
618,"R91 Libraries, archives, museums and other cultural services",B08 Other mining and quarrying products,0.0,0.0
619,R92 Gambling and betting services,B08 Other mining and quarrying products,0.0,0.0
620,R93 Sports services and amusement and recreation services,B08 Other mining and quarrying products,0.0,0.0
621,S94 Services furnished by membership organisations,B08 Other mining and quarrying products,0.0,0.0
622,S95 Repair services of computers and personal and household goods,B08 Other mining and quarrying products,0.0,0.0
623,S96 Other personal services,B08 Other mining and quarrying products,0.0,0.0
624,"A01 Products of agriculture, hunting and related services",B09 Mining support services,0.0,0.0
625,"A02 Products of forestry, logging and related services",B09 Mining support services,0.0,0.0
626,A03 Fish and other fishing products; aquaculture products; support services to fishing,B09 Mining support services,0.0,0.0
627,B05 Coal and lignite,B09 Mining support services,0.0,0.0
628,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,B09 Mining support services,0.2681018891472423,0.0006551632715509126
629,B08 Other mining and quarrying products,B09 Mining support services,0.0,0.0
630,B09 Mining support services,B09 Mining support services,33.08087228843731,0.08084005891636009
631,C101 Preserved meat and meat products,B09 Mining support services,0.0,0.0
632,"C102_3 Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",B09 Mining support services,0.0,0.0
633,C104 Vegetable and animal oils and fats,B09 Mining support services,0.0,0.0
634,C105 Dairy products,B09 Mining support services,0.0,0.0
635,"C106 Grain mill products, starches and starch products",B09 Mining support services,0.0,0.0
636,C107 Bakery and farinaceous products,B09 Mining support services,0.0,0.0
637,C108 Other food products,B09 Mining support services,0.0,0.0
638,C109 Prepared animal feeds,B09 Mining support services,0.0,0.0
639,C11.01-6 & C12 Alcoholic beverages  & Tobacco products,B09 Mining support services,0.0,0.0
640,C1107 Soft drinks,B09 Mining support services,0.0,0.0
641,C13 Textiles,B09 Mining support services,0.0,0.0
642,C14 Wearing apparel,B09 Mining support services,0.0,0.0
643,C15 Leather and related products,B09 Mining support services,0.0,0.0
644,"C16 Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",B09 Mining support services,0.0,0.0
645,C17 Paper and paper products,B09 Mining support services,0.009163226045305041,2.2392267256667824e-05
646,C18 Printing and recording services,B09 Mining support services,0.0,0.0
647,C19 Coke and refined petroleum products,B09 Mining support services,6.621572237475476,0.01618120239179878
648,"C203 Paints, varnishes and similar coatings, printing ink and mastics",B09 Mining support services,0.0,0.0
649,"C204 Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",B09 Mining support services,0.0,0.0
650,C205 Other chemical products,B09 Mining support services,27.57429289842897,0.06738357571257583
651,"C20A Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",B09 Mining support services,0.0,0.0
652,C20B Petrochemicals - 20.14/16/17/60,B09 Mining support services,0.9530914249417343,0.002329079060345631
653,"C20C Dyestuffs, agro-chemicals - 20.12/20",B09 Mining support services,0.0,0.0
654,C21 Basic pharmaceutical products and pharmaceutical preparations,B09 Mining support services,0.0,0.0
655,C22 Rubber and plastic products,B09 Mining support services,0.0,0.0
656,"C235_6 Cement, lime, plaster and articles of concrete, cement and plaster",B09 Mining support services,0.0,0.0
657,"C23OTHER Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",B09 Mining support services,0.0,0.0
658,C241_3 Basic iron and steel,B09 Mining support services,11.01126207377197,0.026908331407522773
659,C244_5 Other basic metals and casting,B09 Mining support services,0.0,0.0
660,C254 Weapons and ammunition,B09 Mining support services,0.0,0.0
661,"C25OTHER Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",B09 Mining support services,50.8293698511679,0.12421224016169906
662,"C26 Computer, electronic and optical products",B09 Mining support services,5.273048214077585,0.012885800730346335
663,C27 Electrical equipment,B09 Mining support services,0.4032243145409183,0.0009853632957372226
664,C28 Machinery and equipment n.e.c.,B09 Mining support services,160.0755315295293,0.39117817955598094
665,"C29 Motor vehicles, trailers and semi-trailers",B09 Mining support services,0.0,0.0
666,C301 Ships and boats,B09 Mining support services,0.0,0.0
667,C303 Air and spacecraft and related machinery,B09 Mining support services,0.0,0.0
668,C30OTHER Other transport equipment - 30.2/4/9,B09 Mining support services,0.0,0.0
669,C31 Furniture,B09 Mining support services,0.0,0.0
670,C32 Other manufactured goods,B09 Mining support services,0.002290914328517632,5.598330288117301e-06
671,C3315 Repair and maintenance of ships and boats,B09 Mining support services,0.8269678169733108,0.002020869536424613
672,C3316 Repair and maintenance of aircraft and spacecraft,B09 Mining support services,0.0,0.0
673,C33OTHER Rest of repair; Installation - 33.11-14/17/19/20,B09 Mining support services,0.0,0.0
674,"D351 Electricity, transmission and distribution",B09 Mining support services,0.0,0.0
675,D352_3 Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,B09 Mining support services,0.0,0.0
676,E36 Natural water; water treatment and supply services,B09 Mining support services,0.0,0.0
677,E37 Sewerage services; sewage sludge,B09 Mining support services,0.0,0.0
678,"E38 Waste collection, treatment and disposal services; materials recovery services",B09 Mining support services,0.0,0.0
679,E39 Remediation services and other waste management services,B09 Mining support services,0.0,0.0
680,"F41, F42 & F43 Construction",B09 Mining support services,0.155826293326308,0.0003807942736026267
681,G45 Wholesale and retail trade and repair services of motor vehicles and motorcycles,B09 Mining support services,0.0,0.0
682,"G46 Wholesale trade services, except of motor vehicles and motorcycles",B09 Mining support services,0.0,0.0
683,"G47 Retail trade services, except of motor vehicles and motorcycles",B09 Mining support services,0.0,0.0
684,H491_2 Rail transport services,B09 Mining support services,0.0,0.0
685,"H493_5 Land transport services and transport services via pipelines, excluding rail transport",B09 Mining support services,1.653958619666245,0.004041795243282472
686,H50 Water transport services,B09 Mining support services,0.0,0.0
687,H51 Air transport services,B09 Mining support services,0.0,0.0
688,H52 Warehousing and support services for transportation,B09 Mining support services,0.0,0.0
689,H53 Postal and courier services,B09 Mining support services,0.0,0.0
690,I55 Accommodation services,B09 Mining support services,0.0,0.0
691,I56 Food and beverage serving services,B09 Mining support services,0.0,0.0
692,J58 Publishing services,B09 Mining support services,0.0,0.0
693,"J59 & J60 Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",B09 Mining support services,0.0,0.0
694,J61 Telecommunications services,B09 Mining support services,0.0,0.0
695,"J62 Computer programming, consultancy and related services",B09 Mining support services,0.1418784656094705,0.00034670982732342467
696,J63 Information services,B09 Mining support services,0.07090596603304788,0.00017327361931857303
697,"K64 Financial services, except insurance and pension funding",B09 Mining support services,0.06872902954815806,0.00016795381782841768
698,"K65.1-2 & K65.3 Insurance, reinsurance and pension funding services, except compulsory social security",B09 Mining support services,0.09851039323868944,0.00024073083453947952
699,K66 Services auxiliary to financial services and insurance services,B09 Mining support services,1.20287720169473,0.0029394830646027634
700,L683 Real estate services on a fee or contract basis,B09 Mining support services,0.04350812343828604,0.00010632123698021925
701,L68A Owner-Occupiers' Housing Services,B09 Mining support services,0.0,0.0
702,"L68BXL683 Real estate services, excluding on a fee or contract basis and imputed rent",B09 Mining support services,0.002291032696048377,5.598619544037634e-06
703,M691 Legal services,B09 Mining support services,0.002300268490660869,5.621189147828711e-06
704,"M692 Accounting, bookkeeping and auditing services; tax consulting services",B09 Mining support services,0.03643460248843811,8.903560299372722e-05
705,M70 Services of head offices; management consulting services,B09 Mining support services,34.25941264827681,0.08372006979678763
706,M71 Architectural and engineering services; technical testing and analysis services,B09 Mining support services,1.672631927846368,0.004087427393495515
707,M72 Scientific research and development services,B09 Mining support services,0.0,0.0
708,M73 Advertising and market research services,B09 Mining support services,0.01144294358556723,2.796323584118941e-05
709,"M74 Other professional, scientific and technical services",B09 Mining support services,0.002288692021688414,5.592899614662326e-06
710,M75 Veterinary services,B09 Mining support services,0.0,0.0
711,N77 Rental and leasing services,B09 Mining support services,0.8636456033890494,0.0021104994104169726
712,N78 Employment services,B09 Mining support services,0.1053781996558383,0.00025751376186218273
713,"N79 Travel agency, tour operator and other reservation services and related services",B09 Mining support services,0.0,0.0
714,N80 Security and investigation services,B09 Mining support services,0.0,0.0
715,N81 Services to buildings and landscape,B09 Mining support services,0.0,0.0
716,"N82 Office administrative, office support and other business support services",B09 Mining support services,71.194215380067,0.17397801713470235
717,O84 Public administration and defence services; compulsory social security services,B09 Mining support services,0.6965437936013841,0.0017021510443133718
718,P85 Education services,B09 Mining support services,0.002288878746300542,5.593355915467032e-06
719,Q86 Human health services,B09 Mining support services,0.0,0.0
720,Q87 & Q88 Residential Care  & Social Work Activities,B09 Mining support services,0.0,0.0
721,"R90 Creative, arts and entertainment services",B09 Mining support services,0.0,0.0
722,"R91 Libraries, archives, museums and other cultural services",B09 Mining support services,0.0,0.0
723,R92 Gambling and betting services,B09 Mining support services,0.0,0.0
724,R93 Sports services and amusement and recreation services,B09 Mining support services,0.0,0.0
725,S94 Services furnished by membership organisations,B09 Mining support services,0.0,0.0
726,S95 Repair services of computers and personal and household goods,B09 Mining support services,0.0,0.0
727,S96 Other personal services,B09 Mining support services,0.0,0.0
728,"A01 Products of agriculture, hunting and related services",C101 Preserved meat and meat products,166.1602239082443,0.29870044747804286
729,"A02 Products of forestry, logging and related services",C101 Preserved meat and meat products,0.0,0.0
730,A03 Fish and other fishing products; aquaculture products; support services to fishing,C101 Preserved meat and meat products,0.0,0.0
731,B05 Coal and lignite,C101 Preserved meat and meat products,0.0,0.0
732,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,C101 Preserved meat and meat products,4.937986173083918e-06,8.876845762768448e-09
733,B08 Other mining and quarrying products,C101 Preserved meat and meat products,3.164448079974152e-05,5.688618101714139e-08
734,B09 Mining support services,C101 Preserved meat and meat products,0.0,0.0
735,C101 Preserved meat and meat products,C101 Preserved meat and meat products,55.11431244029353,0.09907707994815433
736,"C102_3 Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",C101 Preserved meat and meat products,0.6651808979520171,0.0011957725332738648
737,C104 Vegetable and animal oils and fats,C101 Preserved meat and meat products,45.22747623106351,0.08130385883435805
738,C105 Dairy products,C101 Preserved meat and meat products,5.880658103810674,0.010571454261181177
739,"C106 Grain mill products, starches and starch products",C101 Preserved meat and meat products,11.65136934742691,0.02094526088102901
740,C107 Bakery and farinaceous products,C101 Preserved meat and meat products,0.0,0.0
741,C108 Other food products,C101 Preserved meat and meat products,52.75306884059275,0.09483235456655659
742,C109 Prepared animal feeds,C101 Preserved meat and meat products,1.396813011795744,0.0025110021029878986
743,C11.01-6 & C12 Alcoholic beverages  & Tobacco products,C101 Preserved meat and meat products,0.07809718676219514,0.00014039259266721859
744,C1107 Soft drinks,C101 Preserved meat and meat products,0.0,0.0
745,C13 Textiles,C101 Preserved meat and meat products,0.03085285968419728,5.5463111308372174e-05
746,C14 Wearing apparel,C101 Preserved meat and meat products,0.0,0.0
747,C15 Leather and related products,C101 Preserved meat and meat products,0.4556299529250343,0.000819070097656234
748,"C16 Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",C101 Preserved meat and meat products,0.1652708985886237,0.0002971017383244556
749,C17 Paper and paper products,C101 Preserved meat and meat products,12.60253816254155,0.022655143932575655
750,C18 Printing and recording services,C101 Preserved meat and meat products,0.0,0.0
751,C19 Coke and refined petroleum products,C101 Preserved meat and meat products,5.69479329966763e-05,1.0237331576087759e-07
752,"C203 Paints, varnishes and similar coatings, printing ink and mastics",C101 Preserved meat and meat products,1.88180517786548e-05,3.382855628584813e-08
753,"C204 Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",C101 Preserved meat and meat products,0.9685108269151519,0.0017410581821714277
754,C205 Other chemical products,C101 Preserved meat and meat products,21.34233220522209,0.03836636729284391
755,"C20A Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",C101 Preserved meat and meat products,0.08470548290156688,0.00015227209648269112
756,C20B Petrochemicals - 20.14/16/17/60,C101 Preserved meat and meat products,0.03148531696631154,5.6600057737155253e-05
757,"C20C Dyestuffs, agro-chemicals - 20.12/20",C101 Preserved meat and meat products,0.006672582671588561,1.1995069475462155e-05
758,C21 Basic pharmaceutical products and pharmaceutical preparations,C101 Preserved meat and meat products,0.2138207658812485,0.00038437814385767593
759,C22 Rubber and plastic products,C101 Preserved meat and meat products,67.67949086083054,0.12166506357369655
760,"C235_6 Cement, lime, plaster and articles of concrete, cement and plaster",C101 Preserved meat and meat products,1.234351040232004e-05,2.2189498749465374e-08
761,"C23OTHER Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",C101 Preserved meat and meat products,0.9628333345966087,0.0017308519519665473
762,C241_3 Basic iron and steel,C101 Preserved meat and meat products,0.958664117615703,0.0017233570958058017
763,C244_5 Other basic metals and casting,C101 Preserved meat and meat products,0.1608255286097198,0.00028911045153708764
764,C254 Weapons and ammunition,C101 Preserved meat and meat products,0.0,0.0
765,"C25OTHER Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",C101 Preserved meat and meat products,3.454406052461244,0.006209865450174308
766,"C26 Computer, electronic and optical products",C101 Preserved meat and meat products,3.011869868394747,0.005414333564764219
767,C27 Electrical equipment,C101 Preserved meat and meat products,9.67890300822749e-05,1.7399426840268485e-07
768,C28 Machinery and equipment n.e.c.,C101 Preserved meat and meat products,28.52888059548096,0.051285375040319776
769,"C29 Motor vehicles, trailers and semi-trailers",C101 Preserved meat and meat products,0.9585748992428047,0.0017231967110441471
770,C301 Ships and boats,C101 Preserved meat and meat products,0.0,0.0
771,C303 Air and spacecraft and related machinery,C101 Preserved meat and meat products,0.0,0.0
772,C30OTHER Other transport equipment - 30.2/4/9,C101 Preserved meat and meat products,0.0,0.0
773,C31 Furniture,C101 Preserved meat and meat products,0.0,0.0
774,C32 Other manufactured goods,C101 Preserved meat and meat products,0.01560771411330425,2.8057444074749052e-05
775,C3315 Repair and maintenance of ships and boats,C101 Preserved meat and meat products,0.0,0.0
776,C3316 Repair and maintenance of aircraft and spacecraft,C101 Preserved meat and meat products,0.0,0.0
777,C33OTHER Rest of repair; Installation - 33.11-14/17/19/20,C101 Preserved meat and meat products,0.0,0.0
778,"D351 Electricity, transmission and distribution",C101 Preserved meat and meat products,0.0,0.0
779,D352_3 Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,C101 Preserved meat and meat products,0.0,0.0
780,E36 Natural water; water treatment and supply services,C101 Preserved meat and meat products,0.0,0.0
781,E37 Sewerage services; sewage sludge,C101 Preserved meat and meat products,0.0,0.0
782,"E38 Waste collection, treatment and disposal services; materials recovery services",C101 Preserved meat and meat products,0.00172442849514786,3.0999450471912674e-06
783,E39 Remediation services and other waste management services,C101 Preserved meat and meat products,0.0,0.0
784,"F41, F42 & F43 Construction",C101 Preserved meat and meat products,0.0,0.0
785,G45 Wholesale and retail trade and repair services of motor vehicles and motorcycles,C101 Preserved meat and meat products,0.0,0.0
786,"G46 Wholesale trade services, except of motor vehicles and motorcycles",C101 Preserved meat and meat products,0.0,0.0
787,"G47 Retail trade services, except of motor vehicles and motorcycles",C101 Preserved meat and meat products,0.0,0.0
788,H491_2 Rail transport services,C101 Preserved meat and meat products,0.0,0.0
789,"H493_5 Land transport services and transport services via pipelines, excluding rail transport",C101 Preserved meat and meat products,9.395885340602629,0.016890655836141643
790,H50 Water transport services,C101 Preserved meat and meat products,1.107981753242744,0.0019917802089257615
791,H51 Air transport services,C101 Preserved meat and meat products,0.1605101998425044,0.0002885435959945605
792,H52 Warehousing and support services for transportation,C101 Preserved meat and meat products,0.0,0.0
793,H53 Postal and courier services,C101 Preserved meat and meat products,0.0,0.0
794,I55 Accommodation services,C101 Preserved meat and meat products,0.0,0.0
795,I56 Food and beverage serving services,C101 Preserved meat and meat products,0.0,0.0
796,J58 Publishing services,C101 Preserved meat and meat products,0.08456093983165286,0.0001520122564400645
797,"J59 & J60 Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",C101 Preserved meat and meat products,0.0,0.0
