,output product,import requirements,value
2895,Rail transport services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2896,"Land transport services and transport services via pipelines, excluding rail transport","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",3
2897,Water transport services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2898,Air transport services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2899,Warehousing and support services for transportation,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2900,Postal and courier services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",13
2901,Accommodation services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2902,Food and beverage serving services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2903,Publishing services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2904,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2905,Telecommunications services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2906,"Computer programming, consultancy and related services","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",11
2907,Information services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2908,"Financial services, except insurance and pension funding","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",11
2909,"Insurance, reinsurance and pension funding services, except compulsory social security","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",5
2910,Services auxiliary to financial services and insurance services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",2
2911,Real estate services on a fee or contract basis,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2912,Owner-Occupiers' Housing Services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2913,"Real estate services, excluding on a fee or contract basis and imputed rent","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2914,Legal services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",3
2915,"Accounting, bookkeeping and auditing services; tax consulting services","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",4
2916,Services of head offices; management consulting services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",3
2917,Architectural and engineering services; technical testing and analysis services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",18
2918,Scientific research and development services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2919,Advertising and market research services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",9
2920,"Other professional, scientific and technical services","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",1
2921,Veterinary services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2922,Rental and leasing services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",19
2923,Employment services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",18
2924,"Travel agency, tour operator and other reservation services and related services","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2925,Security and investigation services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2926,Services to buildings and landscape,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2927,"Office administrative, office support and other business support services","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2928,Public administration and defence services; compulsory social security services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2929,Education services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2930,Human health services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2931,Residential Care  & Social Work Activities,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2932,"Creative, arts and entertainment services","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2933,"Libraries, archives, museums and other cultural services","Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2934,Gambling and betting services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2935,Sports services and amusement and recreation services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2936,Services furnished by membership organisations,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2937,Repair services of computers and personal and household goods,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2938,Other personal services,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2939,Services of households as employers of domestic personnel,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals) - 20.11/13/15",0
2940,"Products of agriculture, hunting and related services",Manufacture of petrochemicals - 20.14/16/17/60,15
2941,"Products of forestry, logging and related services",Manufacture of petrochemicals - 20.14/16/17/60,0
2942,Fish and other fishing products; aquaculture products; support services to fishing,Manufacture of petrochemicals - 20.14/16/17/60,0
2943,Coal and lignite,Manufacture of petrochemicals - 20.14/16/17/60,0
2944,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Manufacture of petrochemicals - 20.14/16/17/60,355
2945,Other mining and quarrying products,Manufacture of petrochemicals - 20.14/16/17/60,5
2946,Mining support services,Manufacture of petrochemicals - 20.14/16/17/60,0
2947,Preserved meat and meat products,Manufacture of petrochemicals - 20.14/16/17/60,0
2948,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Manufacture of petrochemicals - 20.14/16/17/60,0
2949,Vegetable and animal oils and fats,Manufacture of petrochemicals - 20.14/16/17/60,0
2950,Dairy products,Manufacture of petrochemicals - 20.14/16/17/60,0
2951,"Grain mill products, starches and starch products",Manufacture of petrochemicals - 20.14/16/17/60,2
2952,Bakery and farinaceous products,Manufacture of petrochemicals - 20.14/16/17/60,0
2953,Other food products,Manufacture of petrochemicals - 20.14/16/17/60,1
2954,Prepared animal feeds,Manufacture of petrochemicals - 20.14/16/17/60,0
2955,Alcoholic beverages  & Tobacco products,Manufacture of petrochemicals - 20.14/16/17/60,0
2956,Soft drinks,Manufacture of petrochemicals - 20.14/16/17/60,0
2957,Textiles,Manufacture of petrochemicals - 20.14/16/17/60,3
2958,Wearing apparel,Manufacture of petrochemicals - 20.14/16/17/60,0
2959,Leather and related products,Manufacture of petrochemicals - 20.14/16/17/60,0
2960,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Manufacture of petrochemicals - 20.14/16/17/60,0
2961,Paper and paper products,Manufacture of petrochemicals - 20.14/16/17/60,5
2962,Printing and recording services,Manufacture of petrochemicals - 20.14/16/17/60,0
2963,Coke and refined petroleum products,Manufacture of petrochemicals - 20.14/16/17/60,10
2964,"Paints, varnishes and similar coatings, printing ink and mastics",Manufacture of petrochemicals - 20.14/16/17/60,4
2965,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Manufacture of petrochemicals - 20.14/16/17/60,0
2966,Other chemical products,Manufacture of petrochemicals - 20.14/16/17/60,125
2967,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Manufacture of petrochemicals - 20.14/16/17/60,829
2968,Petrochemicals - 20.14/16/17/60,Manufacture of petrochemicals - 20.14/16/17/60,"2,088"
2969,"Dyestuffs, agro-chemicals - 20.12/20",Manufacture of petrochemicals - 20.14/16/17/60,52
2970,Basic pharmaceutical products and pharmaceutical preparations,Manufacture of petrochemicals - 20.14/16/17/60,5
2971,Rubber and plastic products,Manufacture of petrochemicals - 20.14/16/17/60,59
2972,"Cement, lime, plaster and articles of concrete, cement and plaster",Manufacture of petrochemicals - 20.14/16/17/60,1
2973,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Manufacture of petrochemicals - 20.14/16/17/60,22
2974,Basic iron and steel,Manufacture of petrochemicals - 20.14/16/17/60,2
2975,Other basic metals and casting,Manufacture of petrochemicals - 20.14/16/17/60,7
2976,Weapons and ammunition,Manufacture of petrochemicals - 20.14/16/17/60,0
2977,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Manufacture of petrochemicals - 20.14/16/17/60,14
2978,"Computer, electronic and optical products",Manufacture of petrochemicals - 20.14/16/17/60,5
2979,Electrical equipment,Manufacture of petrochemicals - 20.14/16/17/60,2
2980,Machinery and equipment n.e.c.,Manufacture of petrochemicals - 20.14/16/17/60,26
2981,"Motor vehicles, trailers and semi-trailers",Manufacture of petrochemicals - 20.14/16/17/60,0
2982,Ships and boats,Manufacture of petrochemicals - 20.14/16/17/60,0
2983,Air and spacecraft and related machinery,Manufacture of petrochemicals - 20.14/16/17/60,0
2984,Other transport equipment - 30.2/4/9,Manufacture of petrochemicals - 20.14/16/17/60,0
2985,Furniture,Manufacture of petrochemicals - 20.14/16/17/60,0
2986,Other manufactured goods,Manufacture of petrochemicals - 20.14/16/17/60,2
2987,Repair and maintenance of ships and boats,Manufacture of petrochemicals - 20.14/16/17/60,0
2988,Repair and maintenance of aircraft and spacecraft,Manufacture of petrochemicals - 20.14/16/17/60,0
2989,Rest of repair; Installation - 33.11-14/17/19/20,Manufacture of petrochemicals - 20.14/16/17/60,0
2990,"Electricity, transmission and distribution",Manufacture of petrochemicals - 20.14/16/17/60,0
2991,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Manufacture of petrochemicals - 20.14/16/17/60,0
2992,Natural water; water treatment and supply services,Manufacture of petrochemicals - 20.14/16/17/60,0
2993,Sewerage services; sewage sludge,Manufacture of petrochemicals - 20.14/16/17/60,0
2994,"Waste collection, treatment and disposal services; materials recovery services",Manufacture of petrochemicals - 20.14/16/17/60,10
2995,Remediation services and other waste management services,Manufacture of petrochemicals - 20.14/16/17/60,0
2996,Construction,Manufacture of petrochemicals - 20.14/16/17/60,0
2997,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Manufacture of petrochemicals - 20.14/16/17/60,0
2998,"Wholesale trade services, except of motor vehicles and motorcycles",Manufacture of petrochemicals - 20.14/16/17/60,0
2999,"Retail trade services, except of motor vehicles and motorcycles",Manufacture of petrochemicals - 20.14/16/17/60,0
3000,Rail transport services,Manufacture of petrochemicals - 20.14/16/17/60,0
3001,"Land transport services and transport services via pipelines, excluding rail transport",Manufacture of petrochemicals - 20.14/16/17/60,27
3002,Water transport services,Manufacture of petrochemicals - 20.14/16/17/60,3
3003,Air transport services,Manufacture of petrochemicals - 20.14/16/17/60,0
3004,Warehousing and support services for transportation,Manufacture of petrochemicals - 20.14/16/17/60,0
3005,Postal and courier services,Manufacture of petrochemicals - 20.14/16/17/60,4
3006,Accommodation services,Manufacture of petrochemicals - 20.14/16/17/60,0
3007,Food and beverage serving services,Manufacture of petrochemicals - 20.14/16/17/60,0
3008,Publishing services,Manufacture of petrochemicals - 20.14/16/17/60,0
3009,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Manufacture of petrochemicals - 20.14/16/17/60,0
3010,Telecommunications services,Manufacture of petrochemicals - 20.14/16/17/60,0
3011,"Computer programming, consultancy and related services",Manufacture of petrochemicals - 20.14/16/17/60,4
3012,Information services,Manufacture of petrochemicals - 20.14/16/17/60,0
3013,"Financial services, except insurance and pension funding",Manufacture of petrochemicals - 20.14/16/17/60,4
3014,"Insurance, reinsurance and pension funding services, except compulsory social security",Manufacture of petrochemicals - 20.14/16/17/60,2
3015,Services auxiliary to financial services and insurance services,Manufacture of petrochemicals - 20.14/16/17/60,9
3016,Real estate services on a fee or contract basis,Manufacture of petrochemicals - 20.14/16/17/60,0
3017,Owner-Occupiers' Housing Services,Manufacture of petrochemicals - 20.14/16/17/60,0
3018,"Real estate services, excluding on a fee or contract basis and imputed rent",Manufacture of petrochemicals - 20.14/16/17/60,0
3019,Legal services,Manufacture of petrochemicals - 20.14/16/17/60,1
3020,"Accounting, bookkeeping and auditing services; tax consulting services",Manufacture of petrochemicals - 20.14/16/17/60,1
3021,Services of head offices; management consulting services,Manufacture of petrochemicals - 20.14/16/17/60,13
3022,Architectural and engineering services; technical testing and analysis services,Manufacture of petrochemicals - 20.14/16/17/60,25
3023,Scientific research and development services,Manufacture of petrochemicals - 20.14/16/17/60,0
3024,Advertising and market research services,Manufacture of petrochemicals - 20.14/16/17/60,3
3025,"Other professional, scientific and technical services",Manufacture of petrochemicals - 20.14/16/17/60,7
3026,Veterinary services,Manufacture of petrochemicals - 20.14/16/17/60,0
3027,Rental and leasing services,Manufacture of petrochemicals - 20.14/16/17/60,6
3028,Employment services,Manufacture of petrochemicals - 20.14/16/17/60,5
3029,"Travel agency, tour operator and other reservation services and related services",Manufacture of petrochemicals - 20.14/16/17/60,0
3030,Security and investigation services,Manufacture of petrochemicals - 20.14/16/17/60,0
3031,Services to buildings and landscape,Manufacture of petrochemicals - 20.14/16/17/60,0
3032,"Office administrative, office support and other business support services",Manufacture of petrochemicals - 20.14/16/17/60,40
3033,Public administration and defence services; compulsory social security services,Manufacture of petrochemicals - 20.14/16/17/60,0
3034,Education services,Manufacture of petrochemicals - 20.14/16/17/60,0
3035,Human health services,Manufacture of petrochemicals - 20.14/16/17/60,0
3036,Residential Care  & Social Work Activities,Manufacture of petrochemicals - 20.14/16/17/60,0
3037,"Creative, arts and entertainment services",Manufacture of petrochemicals - 20.14/16/17/60,0
3038,"Libraries, archives, museums and other cultural services",Manufacture of petrochemicals - 20.14/16/17/60,0
3039,Gambling and betting services,Manufacture of petrochemicals - 20.14/16/17/60,0
3040,Sports services and amusement and recreation services,Manufacture of petrochemicals - 20.14/16/17/60,0
3041,Services furnished by membership organisations,Manufacture of petrochemicals - 20.14/16/17/60,0
3042,Repair services of computers and personal and household goods,Manufacture of petrochemicals - 20.14/16/17/60,0
3043,Other personal services,Manufacture of petrochemicals - 20.14/16/17/60,0
3044,Services of households as employers of domestic personnel,Manufacture of petrochemicals - 20.14/16/17/60,0
3045,"Products of agriculture, hunting and related services","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3046,"Products of forestry, logging and related services","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3047,Fish and other fishing products; aquaculture products; support services to fishing,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3048,Coal and lignite,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3049,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",99
3050,Other mining and quarrying products,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",1
3051,Mining support services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3052,Preserved meat and meat products,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3053,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3054,Vegetable and animal oils and fats,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",1
3055,Dairy products,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3056,"Grain mill products, starches and starch products","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3057,Bakery and farinaceous products,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3058,Other food products,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",1
3059,Prepared animal feeds,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3060,Alcoholic beverages  & Tobacco products,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3061,Soft drinks,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3062,Textiles,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3063,Wearing apparel,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3064,Leather and related products,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3065,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3066,Paper and paper products,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",2
3067,Printing and recording services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3068,Coke and refined petroleum products,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",4
3069,"Paints, varnishes and similar coatings, printing ink and mastics","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3070,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Manufacture of dyestuffs, agro-chemicals - 20.12/20",1
3071,Other chemical products,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",15
3072,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","Manufacture of dyestuffs, agro-chemicals - 20.12/20",77
3073,Petrochemicals - 20.14/16/17/60,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",36
3074,"Dyestuffs, agro-chemicals - 20.12/20","Manufacture of dyestuffs, agro-chemicals - 20.12/20",228
3075,Basic pharmaceutical products and pharmaceutical preparations,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",11
3076,Rubber and plastic products,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",8
3077,"Cement, lime, plaster and articles of concrete, cement and plaster","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3078,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","Manufacture of dyestuffs, agro-chemicals - 20.12/20",1
3079,Basic iron and steel,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3080,Other basic metals and casting,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3081,Weapons and ammunition,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3082,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","Manufacture of dyestuffs, agro-chemicals - 20.12/20",1
3083,"Computer, electronic and optical products","Manufacture of dyestuffs, agro-chemicals - 20.12/20",2
3084,Electrical equipment,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3085,Machinery and equipment n.e.c.,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",6
3086,"Motor vehicles, trailers and semi-trailers","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3087,Ships and boats,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3088,Air and spacecraft and related machinery,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3089,Other transport equipment - 30.2/4/9,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3090,Furniture,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3091,Other manufactured goods,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3092,Repair and maintenance of ships and boats,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3093,Repair and maintenance of aircraft and spacecraft,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3094,Rest of repair; Installation - 33.11-14/17/19/20,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3095,"Electricity, transmission and distribution","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3096,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3097,Natural water; water treatment and supply services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3098,Sewerage services; sewage sludge,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3099,"Waste collection, treatment and disposal services; materials recovery services","Manufacture of dyestuffs, agro-chemicals - 20.12/20",9
3100,Remediation services and other waste management services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3101,Construction,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3102,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3103,"Wholesale trade services, except of motor vehicles and motorcycles","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3104,"Retail trade services, except of motor vehicles and motorcycles","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3105,Rail transport services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3106,"Land transport services and transport services via pipelines, excluding rail transport","Manufacture of dyestuffs, agro-chemicals - 20.12/20",2
3107,Water transport services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3108,Air transport services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3109,Warehousing and support services for transportation,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3110,Postal and courier services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",30
3111,Accommodation services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3112,Food and beverage serving services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3113,Publishing services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3114,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3115,Telecommunications services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3116,"Computer programming, consultancy and related services","Manufacture of dyestuffs, agro-chemicals - 20.12/20",6
3117,Information services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3118,"Financial services, except insurance and pension funding","Manufacture of dyestuffs, agro-chemicals - 20.12/20",16
3119,"Insurance, reinsurance and pension funding services, except compulsory social security","Manufacture of dyestuffs, agro-chemicals - 20.12/20",17
3120,Services auxiliary to financial services and insurance services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3121,Real estate services on a fee or contract basis,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3122,Owner-Occupiers' Housing Services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3123,"Real estate services, excluding on a fee or contract basis and imputed rent","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3124,Legal services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",5
3125,"Accounting, bookkeeping and auditing services; tax consulting services","Manufacture of dyestuffs, agro-chemicals - 20.12/20",17
3126,Services of head offices; management consulting services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",5
3127,Architectural and engineering services; technical testing and analysis services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",21
3128,Scientific research and development services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3129,Advertising and market research services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",6
3130,"Other professional, scientific and technical services","Manufacture of dyestuffs, agro-chemicals - 20.12/20",2
3131,Veterinary services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3132,Rental and leasing services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",7
3133,Employment services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",24
3134,"Travel agency, tour operator and other reservation services and related services","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3135,Security and investigation services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3136,Services to buildings and landscape,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3137,"Office administrative, office support and other business support services","Manufacture of dyestuffs, agro-chemicals - 20.12/20",1
3138,Public administration and defence services; compulsory social security services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3139,Education services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3140,Human health services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3141,Residential Care  & Social Work Activities,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3142,"Creative, arts and entertainment services","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3143,"Libraries, archives, museums and other cultural services","Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3144,Gambling and betting services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3145,Sports services and amusement and recreation services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3146,Services furnished by membership organisations,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3147,Repair services of computers and personal and household goods,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3148,Other personal services,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3149,Services of households as employers of domestic personnel,"Manufacture of dyestuffs, agro-chemicals - 20.12/20",0
3150,"Products of agriculture, hunting and related services",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,7
3151,"Products of forestry, logging and related services",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3152,Fish and other fishing products; aquaculture products; support services to fishing,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3153,Coal and lignite,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3154,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,6
3155,Other mining and quarrying products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,2
3156,Mining support services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3157,Preserved meat and meat products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,4
3158,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,4
3159,Vegetable and animal oils and fats,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,1
3160,Dairy products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,5
3161,"Grain mill products, starches and starch products",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,2
3162,Bakery and farinaceous products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3163,Other food products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,3
3164,Prepared animal feeds,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3165,Alcoholic beverages  & Tobacco products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3166,Soft drinks,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3167,Textiles,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,3
3168,Wearing apparel,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3169,Leather and related products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3170,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,2
3171,Paper and paper products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,29
3172,Printing and recording services,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3173,Coke and refined petroleum products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,4
3174,"Paints, varnishes and similar coatings, printing ink and mastics",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,0
3175,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,2
3176,Other chemical products,Manufacture Of Basic Pharmaceutical Products And Pharmaceutical Preparations,399
